Word;PoS;Category;NOUN;VERB;Numbers;PRON;ADV;ADJ
выплачивать;VERB;;заработок;передавать;;;;
выполнить;VERB;;зарплата;передать;;;;
выполнять;VERB;;защита;передумать;;;;
выражать;VERB;;заяц;переживать;;;;
вырастить;VERB;;звезда;перейти;;;;
выращивать;VERB;;звонок;перекрикивать;;;;
вырезать;VERB;;звук;перекричать;;;;
вырубка;NOUN;;здание;перекрывать;;;;
выселять;VERB;;здоровье;перекрыть;;;;
выскочить;VERB;;здравоохранение;перекусить;;;;
высокий;ADJ;;зебра;перемениться;;;;
высоко;ADV;;зелье;перенести;;;;
выставка;NOUN;;земля;переносить;;;;
выступать;VERB;;земляника;перепутать;;;;
выступить;VERB;;землянин;переставать;;;;
высылка;NOUN;;землянка;перестать;;;;
выть;VERB;;зеркало;переходить;;;;
выучивать;VERB;;зерно;петь;;;;
выход;NOUN;;зима;печь;;;;
выходить;VERB;;зло;писать;;;;
выходной;NOUN;;змея;питать;;;;
вычерпать;VERB;;знак;питаться;;;;
вычислительный;ADJ;;знание;пить;;;;
выше;ADV;;значение;плавать;;;;
вышивка;NOUN;;золото;плакать;;;;
выяснить;VERB;;зона;платить;;;;
выяснять;VERB;;зонт;плыть;;;;
вязяние;NOUN;;зоопарк;пнуть;;;;
газ;NOUN;;зрение;победить;;;;
газета;NOUN;;зритель;побеждать;;;;
газетный;ADJ;;зуб;поблагодарить;;;;
газировка;NOUN;;зять;повезти;;;;
галстук;NOUN;Clothing;игра;повернуть;;;;
гараж;NOUN;House;игрушка;повесить;;;;
гардероб;NOUN;Furniture;идея;повредить;;;;
гармоничный;ADJ;;избиратель;повреждать;;;;
гасить;VERB;;известие;повторить;;;;
гастрит;NOUN;;изжержки;повторять;;;;
где;ADV;;изменение;повторяться;;;;
гель;NOUN;;Израиль;повысить;;;;
география;NOUN;;икра;повышать;;;;
геолог;NOUN;Occupation;именины;погаснуть;;;;
Германия;NOUN;Countries;имя;погибнуть;;;;
герой;NOUN;;инвестиция;погреться;;;;
гибель;NOUN;;индекс;подарить;;;;
гибнуть;VERB;;Индия;подготовиться;;;;
гид;NOUN;Occupation;Индонезия;поддержать;;;;
гимнаст;NOUN;Sport;индюк;поддерживать;;;;
гимнастика;NOUN;Sport;инженер;подержать;;;;
гимнастка;NOUN;Sport;инжир;поднимать;;;;
гитара;NOUN;;иностранец;подниматься;;;;
главный;ADJ;;иностранка;поднять;;;;
гладить;VERB;;институт;подняться;;;;
гладко;ADV;;инструмент;подождать;;;;
глаз;NOUN;;инсульт;подозревать;;;;
глазной;ADJ;;интерес;подойти;;;;
глина;NOUN;;интернет;подорожать;;;;
глубокий;ADJ;;инфаркт;подписывать;;;;
глубоко;ADV;;информация;подписываться;;;;
глупо;ADV;;инъекция;подслушивать;;;;
глупый;ADJ;;ипотека;подстраивать;;;;
глухо;ADV;;ирландец;подстроить;;;;
глушить;VERB;;Ирландия;подтвердить;;;;
глушь;NOUN;;ирландка;подтверждать;;;;
гневно;ADV;;исключительность;подходить;;;;
гнездо;NOUN;;искусство;подчинить;;;;
говорить;VERB;;Исландия;подчинять;;;;
год;NOUN;;испанец;поесть;;;;
гол;NOUN;;Испания;поехать;;;;
голландец;NOUN;Nationality;испанка;пожалеть;;;;
голландка;NOUN;Nationality;испуг;пожаловаться;;;;
голландский;ADJ;;испытание;пожарить;;;;
голова;NOUN;;исследование;пожениться;;;;
головной;ADJ;;исследователь;позавтракать;;;;
головоломка;NOUN;;истина;позвать;;;;
голодать;VERB;;история;позволить;;;;
голодный;ADJ;;источник;позволять;;;;
голосовать;VERB;;истощение;позвонить;;;;
голубой;ADJ;Color;исчезновение;поздороваться;;;;
гольф;NOUN;Sport;исчерпание;поздравлять;;;;
гольфы;NOUN;Clothing;Италия;познакомиться;;;;
гонка;NOUN;Sport;итальянец;поймать;;;;
гора;NOUN;;итальянка;пойти;;;;
гораздо;ADV;;июль;показать;;;;
гордиться;VERB;;июнь;показывать;;;;
гордо;ADV;;йогурт;покататься;;;;
гореть;VERB;;йод;покинуть;;;;
горилла;NOUN;Animals;кабан;поклоняться;;;;
горло;NOUN;;кабачок;покупать;;;;
город;NOUN;;кабинет;полагаться;;;;
горожанин;NOUN;;кадры;поливать;;;;
горожанка;NOUN;;казак;положить;;;;
горох;NOUN;Vegetables;казна;положиться;;;;
горько;ADV;;Каир;получать;;;;
горячий;ADJ;;кактус;получить;;;;
горячо;ADV;;календарь;пользоваться;;;;
господин;NOUN;;калькулятор;помахать;;;;
господствовать;VERB;;камень;поменять;;;;
госпожа;NOUN;;камера;поместить;;;;
гостеприимный;ADJ;;Канада;помнить;;;;
гостиница;NOUN;;канадец;помогать;;;;
гостинная;NOUN;House;канадка;помолиться;;;;
гость;NOUN;;канал;помолчать;;;;
гостья;NOUN;;канализация;помочь;;;;
государство;NOUN;;кандидат;понести;;;;
готовить;VERB;;каникулы;понестить;;;;
готовый;ADJ;;капитан;понижать;;;;
грабёж;NOUN;;капля;понизить;;;;
гравюра;NOUN;;капуста;понимать;;;;
градус;NOUN;;карамель;понравиться;;;;
гражданин;NOUN;;карандаш;понять;;;;
гражданка;NOUN;;караоке;пообедать;;;;
гражданство;NOUN;;карман;поощрить;;;;
грамм;NOUN;;карнавал;поощрять;;;;
грамотно;ADV;;карта;попадать;;;;
гранат;NOUN;Fruits;картина;попасть;;;;
граф;NOUN;;картофель;поплыть;;;;
график;NOUN;;карточка;пополнять;;;;
графика;NOUN;;карты;попробовать;;;;
графин;NOUN;;касса;попросить;;;;
графиня;NOUN;;кассир;попрощаться;;;;
грейпфрут;NOUN;Fruits;каталонец;порекомендовать;;;;
грек;NOUN;Nationality;каталонка;портить;;;;
грести;VERB;;каток;поругаться;;;;
греться;VERB;;каторга;поселиться;;;;
грех;NOUN;;кафе;поселяться;;;;
Греция;NOUN;Countries;качели;посетить;;;;
гречанка;NOUN;Nationality;качество;посещать;;;;
гриб;NOUN;Vegetables;каша;послать;;;;
грипп;NOUN;;кашель;посмотреть;;;;
грозить;VERB;;квартира;посоветовать;;;;
грозно;ADV;;квартплата;поссориться;;;;
громкий;ADJ;;кенгуру;поставить;;;;
громко;ADV;;керамика;постареть;;;;
гроссмейтер;NOUN;Sport;кетчуп;пострадать;;;;
грубо;ADV;;киви;построить;;;;
груз;NOUN;;кило;поступать;;;;
Грузия;NOUN;Countries;килограмм;поступить;;;;
грузовик;NOUN;Transport;километр;посылать;;;;
группа;NOUN;;кино;потерять;;;;
грустно;ADV;;кинотеатр;потеряться;;;;
грустный;ADJ;;киоск;потратить;;;;
груша;NOUN;Fruits;Кипр;поужинать;;;;
грязный;ADJ;;кит;похвалить;;;;
грязь;NOUN;;китаец;поцеловать;;;;
губа;NOUN;;Китай;починить;;;;
губернатор;NOUN;Occupation;китаянка;почистить;;;;
гудок;NOUN;;клавиатура;почувствовать;;;;
гулять;VERB;;класс;пошелохнуться;;;;
гусеница;NOUN;Animals;клей;появиться;;;;
густо;ADV;;клетка;появляться;;;;
гусь;NOUN;Animals;климат;праздновать;;;;
давать;VERB;;клиника;практиковать;;;;
давно;ADV;;клоун;практиковаться;;;;
далее;ADV;;клуб;превратить;;;;
далекий;ADJ;;клубника;превратиться;;;;
далеко;ADV;;клумба;превращать;;;;
дальше;ADV;;ключ;превращаться;;;;
Дания;NOUN;Countries;книга;превысить;;;;
данные;NOUN;;коала;превышать;;;;
дарить;VERB;;ковёр;предоставить;;;;
даром;ADV;;кожа;предоставлять;;;;
дата;NOUN;;коза;предотвратить;;;;
дать;VERB;;кокос;предпочесть;;;;
два;Number;;коктейль;предпочитать;;;;
двадцать;Number;;кола;предпринимать;;;;
дважды;ADV;;колбаса;предпринять;;;;
двенадцать;Number;;колготки;представлять;;;;
дверь;NOUN;House;колено;предупредить;;;;
двести;Number;;колесо;предупреждать;;;;
двигатель;NOUN;;коллега;предъявить;;;;
двигать;VERB;;колледж;предъявлять;;;;
двигаться;VERB;;коллектив;преодолевать;;;;
движение;NOUN;;кольцо;преподавать;;;;
двойка;NOUN;;команда;приближать;;;;
двойной;ADJ;;командировка;приближаться;;;;
двойственность;NOUN;;комбинезон;приблизить;;;;
двор;NOUN;House;комикс;приблизиться;;;;
дворец;NOUN;;комментатор;прибывать;;;;
двоюродный;ADJ;;комната;приветствовать;;;;
девочка;NOUN;;комод;привлекать;;;;
девушка;NOUN;;комплимент;привлечь;;;;
девяносто;Number;;композитор;привыкать;;;;
девятнадцать;Number;;компьютер;привыкнуть;;;;
девятый;Number;;конверт;пригласить;;;;
девять;Number;;конец;приглашать;;;;
девятьсот;Number;;конкурс;пригодиться;;;;
деградировать;VERB;;консерватория;приготовить;;;;
дедушка;NOUN;Family;конспект;придумать;;;;
дежурить;VERB;;континент;придумывать;;;;
действие;NOUN;;контрабанда;приезжать;;;;
действовать;VERB;;конференция;приехать;;;;
декабрь;NOUN;;конфета;призвать;;;;
декларация;NOUN;;концерт;приземлиться;;;;
делать;VERB;;коньки;признавать;;;;
делить;VERB;;коньяк;признать;;;;
делиться;VERB;;копейка;призывать;;;;
деловой;ADJ;;Копенгаген;прийти;;;;
дельфин;NOUN;Animals;корабль;прийтись;;;;
день;NOUN;;корова;прикоснуться;;;;
деньги;NOUN;;королева;прилетать;;;;
депрессия;NOUN;;королевство;прилететь;;;;
деревня;NOUN;;король;применить;;;;
дерево;NOUN;;корона;применять;;;;
деревянный;ADJ;;корридор;примерить;;;;
держать;VERB;;коррупция;принадлежать;;;;
держаться;VERB;;корт;принести;;;;
десерт;NOUN;;косметика;принимать;;;;
десятка;NOUN;;космонавт;приносить;;;;
десятый;Number;;космос;принять;;;;
десять;Number;;костёл;приобрести;;;;
дети;NOUN;;костёр;приобретать;;;;
детская;NOUN;House;кость;прислушиваться;;;;
детский;ADJ;;костюм;присматривать;;;;
детство;NOUN;;кот;присматриваться;;;;
дёшево;ADV;;котёнок;присоединить;;;;
дешёвый;ADJ;;кофе;присоединиться;;;;
деятельность;NOUN;;кофемашина;присоединять;;;;
джаз;NOUN;;кофта;присоединяться;;;;
джем;NOUN;;кошелёк;приучать;;;;
джемпер;NOUN;Clothing;кошка;приучить;;;;
джинсы;NOUN;Clothing;кража;приходить;;;;
джунгли;NOUN;;кран;приходиться;;;;
дзюдо;NOUN;Sport;краска;причалить;;;;
диабет;NOUN;;кресло;причинить;;;;
диалог;NOUN;;крест;причинять;;;;
диван;NOUN;Furniture;крестьянин;проверить;;;;
дизайн;NOUN;;крестьянка;проверять;;;;
дизайнер;NOUN;Occupation;крик;провести;;;;
дикий;ADJ;;кровать;проводить;;;;
дико;ADV;;крокодил;провожать;;;;
динозавр;NOUN;Animals;кролик;прогнозировать;;;;
дипломат;NOUN;Occupation;кроссовки;прогуливать;;;;
директор;NOUN;Occupation;крот;прогулять;;;;
дирижёр;NOUN;Occupation;круг;продавать;;;;
дискотека;NOUN;;кружка;продвигать;;;;
диспетчер;NOUN;Occupation;крыжовник;продвигаться;;;;
длина;NOUN;;крыло;продвинуть;;;;
длинный;ADJ;;крыса;продвинуться;;;;
длиться;VERB;;крыша;продолжить;;;;
дневник;NOUN;;крышка;проживать;;;;
днём;ADV;;Куба;прожить;;;;
добавить;VERB;;кубинец;проиграть;;;;
добавлять;VERB;;кубинка;проигрывать;;;;
добиваться;VERB;;кузов;произвести;;;;
добиться;VERB;;кукла;производить;;;;
добро;NOUN;;кукуруза;произнести;;;;
доброволец;NOUN;;кулон;произносить;;;;
доброжелательный;ADJ;;купальник;происходить;;;;
добрый;ADJ;;курильщик;прокатиться;;;;
доверять;VERB;;курица;прокормить;;;;
довольно;ADV;;курс;пропускать;;;;
довольный;ADJ;;куртка;пропустить;;;;
догадаться;VERB;;курьер;прорвать;;;;
догадываться;VERB;;кусок;просить;;;;
догнать;VERB;;куст;проснуться;;;;
договариваться;VERB;;кухня;простить;;;;
договориться;VERB;;лаборатория;просыпаться;;;;
догонять;VERB;;лавка;противостоять;;;;
додуматься;VERB;;лагерь;профинансировать;;;;
додумываться;VERB;;лампа;процветать;;;;
доехать;VERB;;лапша;прочитать;;;;
дождь;NOUN;;ластик;прощать;;;;
доза;NOUN;;Латвия;прощаться;;;;
дойти;VERB;;лебедь;проявить;;;;
доказательство;NOUN;;лев;проявлять;;;;
доктор;NOUN;Occupation;лёд;прыгнуть;;;;
документ;NOUN;;лекарство;прятаться;;;;
долг;NOUN;;лекция;пугать;;;;
долго;ADV;;лень;путать;;;;
долженствовать;VERB;;леопард;путешествовать;;;;
должно;ADV;;лес;пытаться;;;;
должность;NOUN;;лестница;работать;;;;
доллар;NOUN;;лето;равнять;;;;
доля;NOUN;;лётчик;равняться;;;;
дом;NOUN;House;лимон;радоваться;;;;
дома;ADV;;лимонад;разбираться;;;;
домой;ADV;;линейка;разбогатеть;;;;
домохозяйка;NOUN;Occupation;линия;разбудить;;;;
дополнительно;ADV;;лиса;развивать;;;;
дополнительный;ADJ;;Лиссабон;развить;;;;
допускать;VERB;;лист;разговаривать;;;;
допустить;VERB;;Литва;разгружать;;;;
дорога;NOUN;;литр;раздеваться;;;;
дорого;ADV;;лифт;разделить;;;;
дорогой;ADJ;;лифчик;разделиться;;;;
дорожать;VERB;;лицо;различать;;;;
доска;NOUN;;личность;различить;;;;
дословно;ADV;;лоб;разместить;;;;
доставать;VERB;;лодка;размещать;;;;
доставка;NOUN;;лодырь;размять;;;;
достаток;NOUN;;ложа;разобраться;;;;
достаточно;ADV;;ложка;разойтись;;;;
достигать;VERB;;ложь;разочаровать;;;;
достижение;NOUN;;локоть;разочароваться;;;;
достоинство;NOUN;;ломкость;разочаровывать;;;;
достопримечательность;NOUN;;Лондон;разочаровываться;;;;
доступный;ADJ;;лосины;разрешать;;;;
досуг;NOUN;;лось;разрешить;;;;
дотрагиваться;VERB;;лотерея;разрушать;;;;
доход;NOUN;;лошадь;разрушить;;;;
дочь;NOUN;Family;лужа;раскрывать;;;;
драка;NOUN;;лук;раскрыть;;;;
древний;ADJ;;луна;рассказать;;;;
друг;NOUN;;лыжи;рассказывать;;;;
другая;PRON;;повышение;;;;;
другие;PRON;;погода;;;;;
другое;PRON;;подавление;;;;;
другой;ADJ;;льгота;рассмеяться;;;;
другой;PRON;;поддержка;;;;;
дружба;NOUN;;любовь;рассудить;;;;
дружелюбный;ADJ;;любопытство;рассуждать;;;;
дружить;VERB;;люди;рассчитывать;;;;
дружно;ADV;;лягушка;растапливаться;;;;
Дублин;NOUN;;магазин;расти;;;;
думать;VERB;;магнитофон;расходиться;;;;
духовный;ADJ;;Мадрид;расцвести;;;;
душ;NOUN;House;май;расцветать;;;;
душа;NOUN;;майка;расширять;;;;
душно;ADV;;майонез;реагировать;;;;
дыня;NOUN;Fruits;макароны;реализовать;;;;
дядя;NOUN;Family;малина;реализовывать;;;;
еврей;NOUN;Nationality;малоподвижность;регулировать;;;;
еврейка;NOUN;Nationality;мальчик;рекомендовать;;;;
Европа;NOUN;;мама;ремонтировать;;;;
европейский;ADJ;;манго;решать;;;;
Египет;NOUN;Countries;мандарин;решить;;;;
египтянин;NOUN;Nationality;мантия;рисковать;;;;
египтянка;NOUN;Nationality;марафон;рисовать;;;;
его;PRON;;подножие;;;;;
еда;NOUN;;марокканец;родиться;;;;
едва;ADV;;марокканка;ругаться;;;;
единица;NOUN;;Марокко;руководить;;;;
единственный;ADJ;;март;рушиться;;;;
её;PRON;;подобие;;;;;
ёж;NOUN;Animals;маршрут;сажать;;;;
ежегодно;ADV;;масло;самовыражаться;;;;
ежедневно;ADV;;мастер;самосовершенствоваться;;;;
ежемесячно;ADV;;мастерская;сбиться;;;;
ездить;VERB;;мат;светить;;;;
ёлка;NOUN;;математик;светиться;;;;
енот;NOUN;Animals;математика;свистеть;;;;
естественно;ADV;;материя;связать;;;;
естественный;ADJ;;матрёшка;связывать;;;;
есть;VERB;;матч;сгущаться;;;;
ехать;VERB;;мать;сдавать;;;;
ещё;ADV;;машина;сдать;;;;
жадно;ADV;;мебель;сделать;;;;
жаждущий;ADJ;;мёд;сердиться;;;;
жалеть;VERB;;медбрат;сесть;;;;
жалко;ADV;;медведь;сидеть;;;;
жалобно;ADV;;медсестра;сказать;;;;
жаловаться;VERB;;медуза;следить;;;;
жаль;ADV;;Мексика;следовать;;;;
жанр;NOUN;;мексиканец;слезать;;;;
жаркий;ADJ;;мексиканка;слезть;;;;
жарко;ADV;;менеджер;сложиться;;;;
жаркое;NOUN;;меню;сломаться;;;;
ждать;VERB;;мера;служить;;;;
желание;NOUN;;место;слушать;;;;
желать;VERB;;месяц;слышать;;;;
жёлтый;ADJ;Color;металл;смешивать;;;;
желудок;NOUN;;металлург;смеяться;;;;
жена;NOUN;Family;метр;смотреть;;;;
женатый;ADJ;;метро;смочь;;;;
жениться;VERB;;мех;смутиться;;;;
жених;NOUN;Family;механик;смущаться;;;;
женский;ADJ;;Мехико;снижаться;;;;
женщина;NOUN;;мечеть;снимать;;;;
жертва;NOUN;;мечта;сносить;;;;
жёсткий;ADJ;;мешок;собирать;;;;
жестокий;ADJ;;Милан;совершать;;;;
жечь;VERB;;милиционер;совершить;;;;
живопись;NOUN;;милиция;советовать;;;;
живот;NOUN;;миллион;соврать;;;;
животное;NOUN;Animals;минус;соглашаться;;;;
жизнерадостный;ADJ;;минута;согреться;;;;
жизнь;NOUN;;мир;созвать;;;;
жилет;NOUN;Clothing;мировоззрение;создавать;;;;
жилищный;ADJ;;мода;сознаваться;;;;
жильё;NOUN;;модель;сокращать;;;;
жир;NOUN;;мозг;сокращаться;;;;
жираф;NOUN;Animals;молодёжь;сомневаться;;;;
житель;NOUN;;молодец;сообщать;;;;
жительница;NOUN;;молоко;сопровождать;;;;
жить;VERB;;молчание;сорить;;;;
жрец;NOUN;;монастырь;сослать;;;;
жук;NOUN;Animals;монах;сосредоточиться;;;;
журнал;NOUN;;монахиня;составить;;;;
журналист;NOUN;Occupation;монета;составлять;;;;
журналистика;NOUN;;монстр;состоять;;;;
журналистка;NOUN;Occupation;морг;состояться;;;;
жутко;ADV;;море;сохранить;;;;
забавно;ADV;;морепродукты;сохраниться;;;;
забирать;VERB;;морковь;сохранять;;;;
забираться;VERB;;мороженое;сохраняться;;;;
забитый;ADJ;;Москва;спать;;;;
заболевание;NOUN;;мост;спеть;;;;
заболеть;VERB;;мотив;спешить;;;;
забота;NOUN;;мотоцикл;справиться;;;;
заботиться;VERB;;мудрость;справляться;;;;
заботливый;ADJ;;муж;спрашивать;;;;
забрать;VERB;;мужчина;спрогнозировать;;;;
забыть;VERB;;музей;спросить;;;;
завидовать;VERB;;музыка;спрятать;;;;
зависеть;VERB;;музыкант;сражаться;;;;
зависимость;NOUN;;мука;ссориться;;;;
зависимый;ADJ;;мультипликатор;ссылать;;;;
завладеть;VERB;;мультфильм;ставить;;;;
завод;NOUN;;муравей;сталкиваться;;;;
заводиться;VERB;;мусор;становиться;;;;
завоёвывать;VERB;;муха;стареть;;;;
завтра;ADV;;мыло;стать;;;;
завтрак;NOUN;;мысль;стоить;;;;
завтракать;VERB;;мышца;столкнуться;;;;
завязать;VERB;;мышь;стоять;;;;
завязаться;VERB;;Мюнхен;страдать;;;;
загадочно;ADV;;мясо;стрелять;;;;
загар;NOUN;;мяч;стремиться;;;;
загорать;VERB;;наваждение;стянуть;;;;
загрязнение;NOUN;;надежда;судить;;;;
задавать;VERB;;надпись;суетиться;;;;
задание;NOUN;;название;сформировать;;;;
задача;NOUN;;наказание;считаться;;;;
задержать;VERB;;наличные;съесть;;;;
задерживать;VERB;;налог;сыграть;;;;
задирать;VERB;;напиток;танцевать;;;;
задний;ADJ;;направление;терпеть;;;;
задрожать;VERB;;напряжённость;терять;;;;
задуматься;VERB;;наркомания;течь;;;;
задумываться;VERB;;наркотик;толкать;;;;
заём;NOUN;;народ;толкнуть;;;;
заказ;NOUN;;нарушение;тормозить;;;;
заказать;VERB;;насекомое;тратить;;;;
заказчик;NOUN;;насилие;требовать;;;;
заказывать;VERB;;наследственность;трудиться;;;;
закаляться;VERB;;насморк;тянуть;;;;
закат;NOUN;;настоящее;убедить;;;;
заклинание;NOUN;;настроение;убедиться;;;;
заключать;VERB;;натюрморт;убежать;;;;
заключить;VERB;;наука;убеждать;;;;
закон;NOUN;;национальность;убираться;;;;
законодательный;ADJ;;начало;уважать;;;;
законодательство;NOUN;;начальник;увеличивать;;;;
закончить;VERB;;небо;увидеть;;;;
закричать;VERB;;небоскрёб;увидеться;;;;
закрывать;VERB;;невеста;уволить;;;;
закрыто;ADV;;невестка;увольнять;;;;
закрыть;VERB;;недвижимость;угадать;;;;
закрыться;VERB;;неделя;угнать;;;;
закуска;NOUN;;недоверие;угонять;;;;
зал;NOUN;;недостаток;угощать;;;;
заложник;NOUN;;недоступность;удаваться;;;;
замедлять;VERB;;независимость;ударить;;;;
заметить;VERB;;неловкость;удаться;;;;
заметно;ADV;;немец;уделить;;;;
замечательно;ADV;;немка;уделять;;;;
замечательный;ADJ;;неравенство;удивиться;;;;
замечать;VERB;;нетерпение;удивляться;;;;
замкнутый;ADJ;;нефть;удовлетворить;;;;
замок;NOUN;;нехватка;удовлетворять;;;;
замолкать;VERB;;Нидерланды;уезжать;;;;
замуж;ADV;;низ;уехать;;;;
замужем;ADV;;нитка;ужесточать;;;;
занимать;VERB;;нищета;ужесточить;;;;
заниматься;VERB;;новорождённый;ужинать;;;;
занятие;NOUN;;новость;узнавать;;;;
занятый;ADJ;;нога;узнать;;;;
занять;VERB;;ноготь;уйти;;;;
заодно;ADV;;нож;укладывать;;;;
запад;NOUN;;ножницы;украсть;;;;
запас;NOUN;;номер;укрепить;;;;
запах;NOUN;;Норвегия;укреплять;;;;
записка;NOUN;;норвежец;улетать;;;;
заплатить;VERB;;норвежка;улететь;;;;
заполнить;VERB;;нос;уложить;;;;
заполнять;VERB;;носки;улучшать;;;;
заполучить;VERB;;носорог;улучшить;;;;
запоминать;VERB;;ноутбук;улыбаться;;;;
запомнить;VERB;;ночь;улыбнуться;;;;
запрет;NOUN;;ноябрь;уменьшать;;;;
запрещать;VERB;;обед;уменьшить;;;;
запрещено;ADV;;обезьяна;умереть;;;;
запутаться;VERB;;обесценивание;уметь;;;;
запущенный;ADJ;;облако;умирать;;;;
зарабатывать;VERB;;область;умножать;;;;
заработок;NOUN;;обложка;умножить;;;;
заражать;VERB;;обмен;умываться;;;;
заранее;ADV;;оболочка;уничтожать;;;;
зарплата;NOUN;;оборона;уничтожить;;;;
зарубежный;ADJ;;оборудование;упасть;;;;
заряжать;VERB;;образ;употребить;;;;
заслуживать;VERB;;обряд;употреблять;;;;
заслужить;VERB;;обстановка;управлять;;;;
засмеяться;VERB;;обувь;упрекать;;;;
заснуть;VERB;;обучение;упрекнуть;;;;
заснять;VERB;;общежитие;упростить;;;;
заставить;VERB;;общественность;упрощать;;;;
заставлять;VERB;;общество;урезать;;;;
застенчивый;ADJ;;общительность;услышать;;;;
засыпать;VERB;;объединение;успокаивать;;;;
затапливать;VERB;;объект;успокоить;;;;
затем;ADV;;объявление;успокоиться;;;;
затрудняться;VERB;;обычай;устанавливать;;;;
захватывать;VERB;;обязанность;установить;;;;
захватывающий;ADJ;;овощ;устать;;;;
захотеть;VERB;;овца;устраивать;;;;
зачем;ADV;;огонь;устраиваться;;;;
защита;NOUN;;огород;устроить;;;;
защищать;VERB;;ограничение;устроиться;;;;
заявить;VERB;;огурец;уступать;;;;
заявлять;VERB;;одежда;уступить;;;;
заяц;NOUN;Animals;одеяло;утверждать;;;;
звать;VERB;;одноклассник;ухаживать;;;;
зваться;VERB;;ожерелье;уходить;;;;
звезда;NOUN;;ожирение;ухудшаться;;;;
звонить;VERB;;озеро;ухудшиться;;;;
звонко;ADV;;озорник;участвовать;;;;
звонок;NOUN;;океан;учить;;;;
звук;NOUN;;окно;учиться;;;;
здание;NOUN;;окончание;фиксировать;;;;
здесь;ADV;;окраина;финансировать;;;;
здороваться;VERB;;окрестность;формировать;;;;
здорово;ADV;;округ;фотографировать;;;;
здоровый;ADJ;;октябрь;хвалить;;;;
здоровье;NOUN;;окупаемость;хватать;;;;
здравоохранение;NOUN;;олень;хлопать;;;;
здравствовать;VERB;;оливка;ходить;;;;
зебра;NOUN;Animals;олимпиада;хотеть;;;;
зелёный;ADJ;Color;омлет;храниться;;;;
зелье;NOUN;;опасность;царапать;;;;
земля;NOUN;;опекун;цвести;;;;
земляника;NOUN;Fruits;опера;целовать;;;;
землянин;NOUN;;опоздание;ценить;;;;
землянка;NOUN;;оптимист;чинить;;;;
земной;ADJ;;опухоль;чистить;;;;
зеркало;NOUN;Furniture;опыт;читать;;;;
зерно;NOUN;;оранжерея;чувствовать;;;;
зима;NOUN;;орган;шагать;;;;
зимний;ADJ;;организм;шептать;;;;
зимой;ADV;;оргтехника;шуметь;;;;
зло;NOUN;;орёл;шутить;;;;
злобно;ADV;;орех;экономить;;;;
злой;ADJ;;осёл;;;;;
злоупотреблять;VERB;;осень;;;;;
змея;NOUN;Animals;Осло;;;;;
знак;NOUN;;осложнение;;;;;
знакомиться;VERB;;основа;;;;;
знакомый;ADJ;;остановка;;;;;
знаменитый;ADJ;;остров;;;;;
знание;NOUN;;остроумие;;;;;
знать;VERB;;отверстие;;;;;
значение;NOUN;;ответ;;;;;
значить;VERB;;ответственность;;;;;
золото;NOUN;;отвращение;;;;;
золотой;ADJ;;отдел;;;;;
зона;NOUN;;отель;;;;;
зонт;NOUN;;отец;;;;;
зоопарк;NOUN;;открытие;;;;;
зрение;NOUN;;открытка;;;;;
зритель;NOUN;;отлив;;;;;
зря;ADV;;отличие;;;;;
зуб;NOUN;;отмена;;;;;
зубной;ADJ;;отметка;;;;;
зять;NOUN;Family;отношение;;;;;
игра;NOUN;;отпуск;;;;;
играть;VERB;;отравление;;;;;
игрушка;NOUN;;отрешённость;;;;;
идеально;ADV;;отсутствие;;;;;
идеальный;ADJ;;отчество;;;;;
идея;NOUN;;отчёт;;;;;
идти;VERB;;офис;;;;;
избавить;VERB;;официант;;;;;
избавлять;VERB;;официантка;;;;;
избегать;VERB;;охотa;;;;;
избежать;VERB;;оценка;;;;;
избивать;VERB;;оцифровка;;;;;
избиратель;NOUN;;очередь;;;;;
избирательный;ADJ;;очистка;;;;;
избить;VERB;;очки;;;;;
избрать;VERB;;ошибка;;;;;
известие;NOUN;;падение;;;;;
известно;ADV;;палата;;;;;
известный;ADJ;;палатка;;;;;
извинять;VERB;;палец;;;;;
извлекать;VERB;;пальма;;;;;
извлечь;VERB;;пальто;;;;;
издалека;ADV;;памятник;;;;;
изжержки;NOUN;;память;;;;;
изменение;NOUN;;панда;;;;;
изменить;VERB;;папа;;;;;
измениться;VERB;;папка;;;;;
изменять;VERB;;пара;;;;;
изнутри;ADV;;Париж;;;;;
изображать;VERB;;парикмахер;;;;;
изобразить;VERB;;парк;;;;;
Израиль;NOUN;Countries;партер;;;;;
изучать;VERB;;партия;;;;;
икра;NOUN;;партнёр;;;;;
именинный;ADJ;;партнёрша;;;;;
именины;NOUN;;парус;;;;;
иметь;VERB;;паспорт;;;;;
имя;NOUN;;пассажир;;;;;
иначе;ADV;;паста;;;;;
иная;PRON;;подозрение;;;;;
инвестиция;NOUN;;паук;;;;;
индекс;NOUN;;пациент;;;;;
индийский;ADJ;;пачка;;;;;
Индия;NOUN;Countries;певец;;;;;
Индонезия;NOUN;Countries;певица;;;;;
индюк;NOUN;Animals;пейзаж;;;;;
инженер;NOUN;Occupation;пельмени;;;;;
инжир;NOUN;Fruits;пенал;;;;;
инициативный;ADJ;;пение;;;;;
инновационный;ADJ;;пенсионер;;;;;
иногда;ADV;;пенсионерка;;;;;
иное;PRON;;подоконник;;;;;
иной;PRON;;подпись;;;;;
иностранец;NOUN;;перевод;;;;;
иностранка;NOUN;;переводчик;;;;;
